Generation,Top Fitness,Mean Fitness,Run Time (s)
73,34,2.484375,19.229044198989868
74,34,2.09765625,16.97200107574463
75,35,1.8515625,14.939620733261108
76,32,2.4453125,18.151079654693604
77,33,2.1171875,16.84755849838257
78,35,2.56640625,19.108076095581055
79,33,1.98046875,14.912030696868896
80,32,2.39453125,17.617550373077393
81,33,2.125,16.536595106124878
82,31,1.9921875,14.99000072479248
83,33,2.2265625,17.211100101470947
84,34,2.421875,17.304197072982788
85,32,2.47265625,17.242862939834595
86,34,2.4609375,19.111547470092773
87,34,2.74609375,19.502033472061157
88,33,2.796875,20.301034450531006
89,34,2.35546875,21.861562967300415
90,34,2.55078125,24.044744729995728
91,24,1.85546875,15.300506114959717
92,26,1.84765625,15.752214193344116
93,11,1.49609375,13.901001214981079
94,16,1.83203125,14.454030990600586
95,18,1.72265625,15.832514762878418
96,26,1.953125,16.14289879798889
97,19,2.109375,18.082556009292603
98,29,1.91796875,16.293551683425903
99,26,2.14453125,16.46154808998108
100,25,2.3203125,17.733517169952393
101,25,2.51953125,17.100553035736084
102,31,2.78515625,19.148592710494995
103,28,2.99609375,20.689516305923462
104,27,2.49609375,18.352153301239014
105,31,2.70703125,19.354547023773193
106,27,2.75,19.32051682472229
107,31,2.5859375,18.44406795501709
108,28,2.4765625,19.25551700592041
109,29,2.578125,18.47403311729431
110,33,2.9921875,20.51300549507141
111,32,2.3203125,17.399590015411377
112,31,3.109375,21.184606313705444
113,31,2.484375,19.416066884994507
114,30,2.796875,19.753551721572876
115,30,2.78125,19.535122871398926
116,30,2.7890625,19.24603271484375
117,31,3.1875,22.576557397842407
118,32,3.234375,21.675031900405884
119,30,3.2421875,21.945071935653687
120,29,3.19140625,22.691515684127808
121,32,3.28125,22.053068161010742
122,30,3.1796875,20.004112482070923
123,30,2.71875,19.254546880722046
124,28,3.42578125,24.632585048675537
125,35,6.59375,34.824551582336426
126,52,6.68359375,34.777143478393555
127,32,6.546875,33.68459701538086
128,83,6.56640625,37.25060296058655
129,57,7.71875,38.83007025718689
130,35,7.10546875,35.94454908370972
131,34,6.296875,33.553555727005005
132,35,6.51171875,35.98206353187561
133,35,6.15234375,35.43051815032959
134,35,6.96875,38.571122884750366
135,35,6.875,36.37078809738159
136,80,8.69140625,43.547515630722046
137,54,7.265625,38.71300029754639
138,62,8.51171875,41.44955253601074
139,77,7.4296875,40.95158100128174
140,57,8.23828125,44.26862835884094
141,53,8.77734375,46.67051553726196
142,81,7.9921875,43.177279233932495
143,79,8.80859375,46.77608108520508
144,49,8.1171875,43.004361391067505
145,35,7.88671875,43.25704383850098
146,35,7.9453125,42.85751724243164
147,73,7.67578125,41.29707336425781
148,35,7.29296875,39.70370674133301
149,78,7.78515625,44.28160524368286
150,82,10.40234375,58.81160068511963
151,210,12.01171875,63.006742000579834
152,111,15.19921875,81.13458275794983
153,142,13.95703125,76.19862914085388
154,207,15.96875,83.06848192214966
155,151,17.30859375,85.69003200531006
156,141,16.52734375,89.63670372962952
157,135,17.45703125,85.79661655426025
158,141,14.50390625,76.72457551956177
159,114,12.68359375,68.86212682723999
160,122,14.62109375,73.03457474708557
161,113,11.35546875,61.396032094955444
162,110,11.83984375,59.593549489974976
163,87,12.234375,60.781516551971436
164,116,11.42578125,56.889432430267334
165,72,12.40625,64.36898517608643
166,142,12.39453125,60.88793349266052
167,152,21.06640625,86.5494954586029
168,173,21.29296875,86.62203192710876
169,173,20.38671875,85.15454912185669
170,147,17.421875,71.6014506816864
171,137,19.671875,82.46613216400146
172,201,20.0625,72.07255339622498
173,184,22.7265625,82.1955406665802
174,226,23.140625,81.21106719970703
175,198,24.32421875,83.77528595924377
176,171,21.3125,75.30020833015442
177,371,34.94140625,99.54885339736938
178,251,35.41015625,108.73239254951477
179,250,31.265625,90.67114186286926
180,210,29.6484375,88.8330659866333
181,234,30.03515625,95.59217476844788
182,287,33.72265625,87.3441174030304
183,294,34.328125,86.21204376220703
184,299,34.453125,88.05145120620728
185,293,37.3984375,98.62655901908875
186,347,37.890625,86.02146911621094
187,167,38.515625,84.15492248535156
188,364,41.04296875,89.93561124801636
189,363,42.015625,94.22201299667358
190,353,41.91796875,87.9675555229187
191,192,34.1796875,77.50316214561462
192,229,35.66796875,70.91641211509705
193,194,33.6015625,67.42751002311707
194,194,36.07421875,75.45852422714233
195,226,41.73828125,77.37879419326782
196,117,12.73828125,71.05597829818726
197,343,42.609375,95.45316743850708
198,241,32.5078125,81.37879157066345
199,224,25.65625,77.52222108840942
200,248,26.63671875,85.05769753456116
201,244,28.2421875,85.34951567649841
202,391,27.8203125,82.89378595352173
203,228,25.16015625,76.1713216304779
204,352,23.47265625,68.86151957511902
205,179,19.625,67.34947729110718
206,198,18.40234375,62.95549821853638
207,95,20.73046875,70.21087789535522
208,185,18.80859375,59.18994331359863
209,203,19.859375,68.70309782028198
210,197,18.515625,69.23418521881104
211,392,24.9765625,74.94827246665955
212,177,22.4296875,74.50070309638977
213,174,17.62109375,62.558167457580566
214,165,20.40625,68.4110689163208
215,203,21.84375,74.14479994773865
216,179,13.125,63.72410035133362
217,83,12.23046875,70.00026154518127
218,143,10.09765625,56.15968608856201
219,130,11.3515625,67.14752149581909
220,117,12.3671875,68.71254754066467
221,95,9.69140625,55.99663734436035
222,142,10.52734375,64.9085476398468
223,204,13.3046875,69.20203351974487
224,83,11.29296875,60.24309420585632
225,82,11.72265625,61.4322464466095
226,81,10.7734375,54.422996044158936
227,80,9.9453125,51.343337535858154
228,81,10.77734375,57.3014178276062
229,82,12.28515625,62.641958713531494
230,143,13.203125,76.30931353569031
231,141,11.70703125,67.64806342124939
232,83,12.97265625,84.69854617118835
233,255,13.53515625,82.22857666015625
234,143,15.546875,126.71292877197266
235,172,15.53125,127.70143961906433
236,299,16.640625,147.53810143470764
237,297,24.48828125,179.97106289863586
238,318,22.0703125,175.09558391571045
239,214,24.10546875,188.06612157821655
240,212,23.0390625,180.45666933059692
241,214,22.98828125,187.6230709552765
242,333,26.0390625,202.98556685447693
243,212,22.046875,178.9991261959076
244,390,22.6640625,178.09485006332397
245,297,25.75390625,204.28009915351868
246,503,56.83984375,272.32611179351807
247,755,60.3359375,311.339120388031
248,898,58.94140625,315.79942202568054
249,755,74.359375,303.3250775337219
250,1228,79.2578125,308.8854420185089
251,1058,82.06640625,298.6070787906647
252,898,97.328125,356.38895297050476
253,1408,115.17578125,478.8410484790802
254,1228,112.93359375,445.86035561561584
255,1228,99.55859375,374.8846936225891
256,1053,124.2265625,489.0504307746887
257,898,120.7109375,507.0804650783539
258,1408,121.296875,555.6371650695801
259,1054,136.1171875,594.1920130252838
260,898,83.0625,412.0414614677429
261,899,117.84375,541.774468421936
262,1053,119.00390625,433.28511023521423
263,1053,89.921875,351.5011076927185
264,1053,100.921875,455.25629925727844
265,1053,111.2578125,498.5730299949646
266,1053,107.5546875,461.82597827911377
267,1410,119.59375,528.2561416625977
268,1282,95.46484375,375.0184519290924
269,1403,120.9375,455.2717332839966
270,1406,115.328125,421.9748728275299
271,899,109.9765625,436.05102133750916
272,1228,128.62890625,504.4160840511322
273,898,112.99609375,407.95117235183716
274,1055,114.61328125,394.08769965171814
275,898,103.296875,380.0345981121063
276,898,106.70703125,387.3471682071686
277,898,79.66015625,309.37951278686523
278,1223,85.015625,317.4550247192383
279,898,107.49609375,376.3241517543793
280,898,127.9375,432.3201947212219
281,883,99.421875,355.2830240726471
282,1053,112.8828125,390.8767704963684
283,893,69.6796875,273.62223958969116
284,1055,91.58203125,335.1231920719147
285,899,76.26171875,271.2339344024658
286,1053,107.3984375,379.6741919517517
287,1055,124.37890625,419.8317449092865
288,899,104.390625,346.3069748878479
289,1053,111.14453125,368.834445476532
290,1228,72.88671875,256.4486713409424
291,1228,166.015625,542.4001708030701
292,1055,110.86328125,376.18230962753296
293,898,99.4765625,355.6292915344238
294,1055,114.55859375,391.25825691223145
295,1053,111.14453125,372.0778880119324
296,1228,123.765625,404.9815866947174
297,899,107.6796875,379.2585470676422
298,1053,122.25,396.04611825942993
299,1054,130.7265625,429.8886902332306
300,1228,123.71484375,415.95477533340454
